Rating,Content,Count,,,Rating,Content,Count,,Rating,Content,Count,,Rating,Content,Count,,Rating,Content,Count,,Rating,Content,Count
2,라가,1,,,1,하려는데,1,,,,,,,,,,,,,,,,
2,되면서,1,,,1,줄알,1,,,,,,,,,,,,,,,,
2,않음,1,,,1,안되는건,1,,,,,,,,,,,,,,,,
1,없다고,1,,,1,몇번,1,,,,,,,,,,,,,,,,
1,없어서,1,,,1,안되는데,1,,,,,,,,,,,,,,,,
1,이라도,1,,,1,주일,1,,,,,,,,,,,,,,,,
1,가먄,1,,,1,봅니까,1,,,,,,,,,,,,,,,,
1,좋겠는데,1,,,1,하기전부터,1,,,,,,,,,,,,,,,,
1,커녕,1,,,1,에러메시지,1,,,,,,,,,,,,,,,,
1,엄청,1,,,1,하지말란,1,,,,,,,,,,,,,,,,
1,켰습니다,1,,,1,알았으니까,1,,,,,,,,,,,,,,,,
1,가게,1,,,1,해달라고요,1,,,,,,,,,,,,,,,,
1,할거아니에요,1,,,1,!!),1,,,,,,,,,,,,,,,,
1,있으면,1,,,1,다음,1,,,,,,,,,,,,,,,,
1,건너,1,,,1,넘어가냐고요,1,,,,,,,,,,,,,,,,
1,뛰게,1,,,1,짜증나네요,1,,,,,,,,,,,,,,,,
1,만들어주셔야죠,1,,,1,변하고,1,,,,,,,,,,,,,,,,
